city,state_name,country_name,latitude,longitude,nyc_distance,dc_distance
Lorton,Virginia,United States,38.7043397,-77.220343,220.27910738828427,16.029571990283838
North Potomac,Maryland,United States,39.0980055,-77.2368904,204.62754038459644,17.88556183205702
Washington Dc,District of Columbia,United States,38.8949924,-77.0365581,204.26437714082445,0.45323508199101437
Saint Paul,Minnesota,United States,44.9504037,-93.1015026,1010.5360539962824,925.3169260667655
Naples,Florida,United States,26.1421976,-81.7942944,1099.239152513324,920.7913788387827
Severna Park,Maryland,United States,39.070388,-76.5452409,176.1949650497922,29.437785456922594
Brookline,Massachusetts,United States,42.3317642,-71.1211635,186.71795929328,391.3823093914186
Lanham,Maryland,United States,38.9670551,-76.8619166,193.82606107566906,11.008852790960793
West Chester,Pennsylvania,United States,39.9597213,-75.6059638,99.17321602154722,106.50493497117239
Providence,Rhode Island,United States,41.8239891,-71.4128343,155.26590684769397,359.37004027816425
Newton,Massachusetts,United States,42.3370414,-71.2092214,183.29792011653487,387.9295690226122
Crofton,Maryland,United States,39.0017772,-76.6874671,185.08359892782804,20.529004790412543
Milwaukee,Wisconsin,United States,43.0349931,-87.922497,734.589663453682,636.4020537952648
Cherry Hill,New Jersey,United States,39.9348351,-75.0307264,76.21680541690944,129.48616430484108
Westminster,Maryland,United States,39.5752639,-76.9959277,176.68539592206162,47.397016345866064
Owings Mills,Maryland,United States,39.4010753,-76.796299,173.40435141630635,37.671718679667734
Hagerstown,Maryland,United States,39.6419219,-77.7202641,209.9758030461088,63.46173574196147
Guaynabo,Puerto Rico,United States,18.3581491,-66.1116969,1609.742280018331,1559.1603542619282
Sacramento,California,United States,38.5810606,-121.4938951,2505.920130617451,2377.3994522244843
Clifton,Virginia,United States,38.7802131,-77.3866868,224.00534949610827,20.14666929246788
Madison,Wisconsin,United States,43.074761,-89.3837613,808.3302021277234,706.2453428446623
Scarsdale,New York,United States,40.9880495,-73.7974133,21.918054517547716,224.98304154796367
North Bethesda,Maryland,United States,39.0461292,-77.1130097,201.2138643775827,11.523096610874763
Santa Monica,California,United States,34.0194704,-118.4912273,2464.838250921923,2313.1956060721723
Harrisburg,Pennsylvania,United States,40.2663107,-76.8861122,154.8121296476144,95.3700366858537
Flushing,New York,United States,40.7654301,-73.8174291,10.544813989016518,214.7935699940137
Norfolk,Virginia,United States,36.8462923,-76.2929252,293.87110510784356,146.68896663719505
Memphis,Tennessee,United States,35.1490215,-90.0516285,954.9594311653129,763.4487109830966
West Palm Beach,Florida,United States,26.715364,-80.0532942,1024.9713352952542,856.889127092162
White Plains,New York,United States,41.0339862,-73.7629097,25.5650412432949,228.38334143538978
Williamsburg,Virginia,United States,37.2708788,-76.7074042,278.38553521926696,113.07199320952711
Greenwich,Connecticut,United States,41.0264862,-73.6284598,29.32371060934633,233.54464857311956
BERKELEY,California,United States,37.8708393,-122.2728639,2562.149854745911,2431.296015830398
Jersey City,New Jersey,United States,40.7281575,-74.0776417,3.9081649006016694,202.33272900588472
Montclair,New Jersey,United States,40.8164458,-74.2210643,13.360936070759923,200.36362296911875
Palo Alto,California,United States,37.4443293,-122.1598465,2566.47573804705,2433.6194066765706
Arnold,Maryland,United States,39.0320784,-76.5025431,176.21882249380803,30.589514004277373
Lancaster,Pennsylvania,United States,40.03813,-76.3056686,129.9669003727271,88.46721182848795
Westport,Connecticut,United States,41.1414855,-73.3578955,45.01029057841531,249.57627474058458
York,Pennsylvania,United States,39.962398,-76.727392,152.7200207973995,75.91360901847705
Towson,Maryland,United States,39.4018552,-76.602388,164.6935756099086,42.477708669903514
Wellesley,Massachusetts,United States,42.2964859,-71.2925571,178.20314986520117,382.8303456162559
Coral Gables,Florida,United States,25.72149,-80.2683838,1094.1781165371308,926.6012081162005
Evanston,Illinois,United States,42.0447388,-87.6930459,716.5608796052353,601.6049504984263
Kansas City,Missouri,United States,39.100105,-94.5781416,1096.1872904456202,942.7348898069225
Irvine,California,United States,33.6856969,-117.8259819,2439.432260411836,2285.6004198373553
Burtonsville,Maryland,United States,39.1112193,-76.9324752,190.7245077658339,16.3847437835799
Marietta,Georgia,United States,33.9528472,-84.5496148,743.6401405623062,539.0625060998467
Catonsville,Maryland,United States,39.26099215,-76.74554333316948,176.53723632370395,30.153770104107238
Edgewater,Maryland,United States,38.9358105,-76.55301414304145,182.70585531949666,26.45179310629255
Syracuse,New York,United States,43.0481221,-76.1474244,195.3752279839428,290.76598330708384
Greensboro,North Carolina,United States,36.0726355,-79.7919754,448.21169245470367,246.13838988207422
Colorado Springs,Colorado,United States,38.8339578,-104.8253485,1637.3941358134657,1492.6554746387621
Fairfield,Connecticut,United States,41.1412078,-73.2637258,48.820452938754705,253.49130343665846
Temple Hills,Maryland,United States,38.8140024,-76.9455296,204.07443678635113,7.27084334513153
Clinton,Maryland,United States,38.7651145,-76.8983059,204.39493611941396,11.475675506369884
Santa Fe,New Mexico,United States,35.6869996,-105.9377997,1762.0561316797891,1600.703085931412
Livingston,New Jersey,United States,40.7959335,-74.3148713,17.193471286324453,195.72318067032003
Great Neck,New York,United States,40.8006567,-73.7284647,15.7766564393321,219.99889440218857
Purcellville,Virginia,United States,39.1367717,-77.7147153,224.98806955336428,40.12269754191024
Gainesville,Florida,United States,29.6519684,-82.3249846,895.1275961935893,704.5078470203449
New Haven,Connecticut,United States,41.298434349999994,-72.93102342707913,69.2191084848816,273.88591786048283
Tallahassee,Florida,United States,30.4380832,-84.2809332,913.294720667076,713.1630401446446
Cary,North Carolina,United States,35.7882893,-78.7812081,427.4193818845844,234.32873365251075
Beverly Hills,California,United States,34.0696501,-118.3963062,2458.45513776274,2306.881894620877
Norwalk,Connecticut,United States,41.1175966,-73.4078968,41.96153873530486,246.50225038385494
Mount Airy,Maryland,United States,39.3762145,-77.154704,190.7183234938085,34.16435922658354
Columbia,South Carolina,United States,34.0007493,-81.0343313,602.835920464221,403.77317145818466
Albany,New York,United States,40.7127281,-74.0060152,0.0,204.67279260883512
Doylestown,Pennsylvania,United States,40.3100446,-75.1304588,65.41074677827562,141.40804877766823
